Year,January,February,March,April,May,June,July,August, September,October,November,December,Total
2019,0.45,2.57,2,3.91,6.68,2.72,6.48,6.28,3.92,4.05,2.28,1.83,43.17
2018,1.55,1.33,1.19,2.21,2.99,3.78,4.44,2.83,6.87,3.4,1.45,1.53,33.57
2017,0.98,0.64,0.68,4.45,4.8,4.23,3.12,6.75,1.04,4.49,0.39,0.79,32.36
2016,0.31,1.09,2.26,2.84,2.42,4.49,5.09,7.82,5.47,3.41,2.98,2.14,40.32
2015,0.34,0.35,0.67,2.42,3.55,4.4,7.32,2.99,4.65,2.61,4.52,2.32,36.14
2014,1.42,1.41,0.82,6.27,4.55,11.36,2.27,2.9,0.92,1.75,0.87,0.86,35.4
2013,0.86,1.33,2.04,5.22,6.24,5.17,3.51,2.07,1.35,3,0.52,1.46,32.77
2012,0.36,1.71,1.4,3.04,9.34,3.59,4.9,1.38,0.3,1.3,0.63,1.64,29.59
2011,1,1.12,2.06,2.8,4.04,5.28,5.23,3.03,0.36,0.7,0.3,0.99,26.91
2010,0.45,0.75,0.69,2.32,2.5,6.25,3.03,4.91,5.52,1.61,2.07,2.79,32.89
2009,0.57,0.93,1.5,1.57,0.53,2.86,2.17,6.43,0.46,5.57,0.38,1.83,24.8
2008,0.15,0.4,1.97,3.12,2.53,2.7,2.13,3.35,1.78,1.96,1.14,1.15,22.38
2007,0.31,1.37,3.64,1.11,1.99,2.05,3.29,9.32,6.04,3.63,0.09,1.48,34.32
2006,0.71,0.32,2.01,5.97,1.66,2.81,1.29,6.9,2.44,0.41,0.92,2.13,27.57
2005,1.21,0.96,1.37,2.3,2.78,4.24,2.94,5.22,4.44,5.45,1.53,0.97,33.41
2004,0.23,1.09,2.11,2.06,6.39,3.06,3.36,1.19,4.21,2.32,0.93,0.44,27.39
2003,0.22,0.54,1.44,2.4,6.14,4.66,2.05,1.12,2.2,0.62,0.71,0.62,22.72
2002,0.46,0.41,1.38,3.15,2.83,8.3,5.19,8.3,3.9,4.18,0.09,0.22,38.41
2001,1.21,1.33,1.09,7,4.53,6.35,2.12,2.31,3.5,1.28,2.77,0.74,34.23
2000,0.9,1.08,1.12,1.12,4.56,4.56,6.1,3.19,2.15,1.09,3.38,1.23,30.48
1999,2.67,0.4,1.86,3.43,6.56,3.68,4.55,2.64,2.73,0.92,0.77,0.33,30.54
1998,1.64,0.8,4.56,1.56,4.4,6.52,2.63,5.99,1.32,2.19,1.32,0.46,33.39
1997,1.71,0.3,1.18,1.01,1.7,3.7,12.6,6.01,3.19,2.03,0.69,0.31,34.43
1996,1.87,0.24,1.39,0.76,2.37,4.76,2.09,1.43,1.3,3.01,5.08,1.75,26.05
1995,0.36,0.25,2.11,1.9,2.43,3.38,2.72,4.59,2.21,3.68,0.88,1.15,25.66
1994,1.17,0.78,0.32,3.77,2.21,3.09,4.12,2.9,4.74,4.65,1.39,0.53,29.67
1993,1.25,0.39,1.25,1.99,4.02,6.28,5.58,6.5,2.04,0.79,1.57,0.55,32.21
1992,0.66,0.57,1.56,1.99,1.15,3.68,5.21,4.54,5.2,2.11,1.95,1.05,29.67
1991,0.49,1.03,2.29,3.58,6.35,2.57,2.95,3.14,5.43,2.52,5.29,1.05,36.69
1990,0.1,0.77,3.66,3.8,3.36,9.82,5.06,1.71,1.88,1.23,0.65,1.01,33.05
1989,0.52,1.04,2.19,2.66,3.38,3.5,3.5,2.92,1.28,0.53,1.38,0.42,23.32
1988,1.37,0.3,1.33,1.58,1.7,0.22,1.17,4.29,2.79,0.8,2.86,0.67,19.08
1987,0.63,0.13,0.64,0.16,1.88,1.95,17.9,3.67,1.28,0.6,2.07,1.25,32.16
1986,0.9,0.84,2.03,5.88,3.48,5.34,4.11,4.44,6.9,1.77,0.62,0.31,36.62
1985,0.87,0.5,4.48,1.81,3.65,2.18,2.2,5.02,4.37,3.66,1.72,1.2,31.66
1984,0.88,1.64,1.47,3.86,2.29,7.95,3.03,5.15,2.65,5.48,0.31,2.24,36.95
1983,0.67,1.19,3.22,3.97,6.2,5.22,3.07,3.12,3.34,2.61,4.93,1.53,39.07
1982,2.45,0.43,2.09,1.62,4.99,1.44,0.92,3.8,1.5,3.45,3.27,4.27,30.23
1981,0.3,2.14,0.71,2.17,2.18,4.42,4.09,4.73,1.46,2.69,2.16,0.92,27.97
1980,0.94,0.67,1.12,0.83,2.29,5.52,2.3,3.26,3.68,0.66,0.26,0.24,21.77
1979,1.09,1.39,2.55,0.66,4.55,4.78,2.34,7.04,2.2,3.16,0.98,0.33,31.07
1978,0.38,0.24,0.79,3.63,3.79,7.09,3.19,5.77,2.47,0.19,1.84,0.88,30.26
1977,0.65,0.93,2.66,1.84,2.86,3.57,3.72,9.31,4.43,2.34,1.42,1.15,34.88
1976,0.87,0.59,2.83,0.8,1.13,3.86,2.45,1.39,1.42,0.49,0.16,0.51,16.5
1975,2.82,0.79,1.67,5.4,3.81,7.99,0.58,4.92,1.31,0.27,4.8,0.79,35.15
1974,0.17,1.06,1,2.42,2.08,5.21,1.14,2.75,0.58,1.69,0.66,0.35,19.11
1973,0.92,0.84,1.12,2.32,2.48,1.06,2.9,3.05,2.08,1.29,1.97,1.1,21.13
1972,0.84,0.49,1.25,1.69,2.18,3.31,5.12,2.48,1.96,1.77,1.11,1.57,23.77
1971,1.22,1.74,1.21,1.11,3.14,3.52,3.94,1.78,2.73,5.68,2.67,0.7,29.44
1970,0.47,0.16,2.05,3.55,4.77,1.27,3.66,2.19,3.19,4.97,3.82,0.43,30.53
1969,2.05,0.31,0.9,1.55,1.98,2.93,2.95,0.99,0.49,2.53,0.55,2.06,19.29
1968,0.71,0.13,1.89,2.94,3.74,6.78,6.46,0.75,6.16,5.62,0.54,2.21,37.93
1967,3.63,1.59,0.96,4.07,0.61,7.53,1.36,2.79,0.63,1.73,0.09,0.45,25.44
1966,0.95,1.55,2.48,0.89,1.46,3.51,2.47,4.4,1.69,3.53,0.39,1.02,24.34
1965,0.47,1.59,4.75,3.52,7.86,4.01,4.69,4.04,4.9,0.9,1.98,1.23,39.94
1964,0.47,0.06,1.35,2.98,3.44,2.18,2.02,5.42,5.21,0.57,1.19,1.08,25.97
1963,0.46,0.41,1.18,2.07,5.06,1.91,1.53,1.55,3.47,0.81,0.52,0.6,19.57
1962,0.55,2.07,1.87,1.31,8.03,1.48,5.12,3.47,2.46,1.69,0.52,0.26,28.83
1961,0.28,0.89,2.81,2.39,3.48,1.87,2.94,2.38,3.01,3.03,1.06,1.6,25.74
1960,0.68,0.22,0.81,2.04,3.19,3.08,1.93,3.99,3.79,0.31,0.87,0.55,21.46
1959,0.11,0.61,0.59,0.64,5.03,4.07,2.6,6.6,2.29,2.43,0.63,1.28,26.88
1958,0.21,0.24,0.32,1.99,1.39,2.01,3.15,3.03,1.09,1.55,1.01,0.21,16.2
1957,0.32,0.83,1.31,1.23,3.13,4.12,6.31,5.75,1.65,1.4,1.56,0.24,27.85
1956,0.48,0.2,1.62,0.67,1.96,6.58,5.18,5.22,0.79,1.95,1.35,0.2,26.2
1955,0.47,1.54,0.52,0.92,0.69,1.53,7.1,2.84,0.99,2.21,1.04,1.26,21.11
1954,0.25,0.32,2.1,3.53,2.54,4.71,1.33,3.08,3.65,1.23,0.61,0.33,23.68
1953,0.55,1.23,1.51,2.04,1.92,7.1,6.81,2.75,0.55,0.15,1.54,1.76,27.91
1952,1.05,1.2,3.09,0.59,2.86,3.98,4.56,4.18,0.42,0.01,1.28,0.45,23.67
1951,0.44,1.71,3,1.86,4.14,5.5,5.44,1.94,5.8,1.44,2.12,1.21,34.6
1950,1.27,0.68,2.2,2.19,2.87,1.26,3.74,1.84,1.46,1.22,0.89,1.99,21.61
1949,1.65,0.14,3.37,1.89,0.9,2.74,6.01,2.64,2.67,1.72,0.42,0.99,25.14
1948,0.15,1.37,1.43,1.77,0.74,2.58,1.34,3.37,1.04,0.6,1.89,0.67,16.95
1947,0.71,0.2,0.47,2.44,2.56,5.3,0.96,2.41,1.48,1.1,2.85,0.6,21.08
1946,0.94,1.15,1.2,0.66,3.04,7.8,2.76,0.43,6.58,2.51,1.22,0.68,28.97
1945,0.63,1.84,1.95,2.95,3.09,5.57,4.13,2.27,2.13,0.3,0.92,1.41,27.19
1944,0.24,1.1,1.2,2.24,6.15,6.69,4.39,3.65,0.97,0.26,2.1,0.09,29.08
1943,0.91,0.57,0.81,0.98,4.27,4.23,3.78,1.75,2.47,1.3,1.64,T,22.71
1942,0.15,0.45,1.74,3.41,6.78,2.69,3.8,2.11,7.53,0.78,0.27,0.85,30.56
1941,0.74,0.89,0.77,1.87,2.91,3.29,1.98,3.66,3.47,5.52,1.05,0.85,27
1940,0.37,0.91,2.16,1.21,1.64,7.1,2.46,4.54,0.41,1.57,5.15,1.02,28.54
1939,1.06,0.88,0.61,2.19,3.55,4.95,2.75,3.65,2.31,1.56,0.02,0.97,24.5
1938,0.87,0.62,2.11,3.27,6.97,2.96,3.36,3.45,3.24,0.84,1.29,0.77,29.75
1937,1.24,0.48,1.07,2.62,5.42,3.11,0.48,4.1,1.67,1.36,0.51,0.53,22.59
1936,0.77,1.55,2.66,1.48,2.25,2.29,0.11,3.48,0.78,0.66,0.66,1.78,18.47
1935,1.44,0.21,1.63,2.32,3.81,4.82,2.59,3.02,1.98,3.95,0.69,1.04,27.5
1934,0.68,0.17,0.68,1.57,0.21,2.3,1.4,1.61,4.86,5.64,2.38,1.23,22.73
1933,0.89,0.77,2.15,1.43,7.87,1.31,2.16,1.09,3.44,1.26,0.57,0.71,23.65
1932,1.7,0.74,1.42,2.15,2.05,1.56,4.36,3.87,0.85,0.89,2.28,1.52,23.39
1931,0.13,0.7,1.49,1.2,1.35,4.78,1.12,2.97,2.42,1.87,3.29,0.71,22.03
1930,0.95,2.66,0.48,0.62,3.38,6.68,0.92,0.72,4.14,1.14,2.41,0.06,24.16
1929,1.6,1.05,1.31,1.62,1.91,4.21,3.33,2.15,3.57,2.17,0.36,0.36,23.64
1928,0.33,1.51,0.93,2.33,2.38,2.59,3.68,5.84,2.17,3.17,0.35,0.43,25.71
1927,0.54,0.35,2.43,2.48,3.22,6.77,1.86,2.11,4.32,2.3,1.5,2.31,30.19
1926,0.71,0.55,1.61,0.58,1.13,3.76,3.49,3.72,5.18,1.61,1.82,1.48,25.64
1925,0.46,0.41,0.44,1.21,2.66,4.76,4.03,0.2,3.35,0.58,0.53,0.78,19.41
1924,0.54,0.63,1.23,3.38,1.03,7.35,1.22,7.35,3.43,0.76,0.65,0.83,28.4
1923,1.01,0.53,1.08,1.99,2.97,5.04,3.12,1.98,1.61,1.19,0.45,0.41,21.38
1922,0.88,3.25,1.6,1.35,2.94,5.63,1.67,1.66,2.16,1.21,3.57,0.15,26.07
1921,0.44,0.51,2.21,2.04,3.49,3.81,3.16,2.03,3.99,0.37,1.58,0.26,23.89
1920,1.84,0.46,2.71,2.23,2.67,8.43,1.3,1.14,1.95,2.79,1.24,0.62,27.38
1919,0.43,2.02,0.84,3.44,1.71,4.04,6.19,1.88,1.47,1.69,2.73,0.68,27.12
1918,0.38,0.55,0.93,0.91,4.32,2.83,5.07,3.73,1.25,2.31,4.06,1.71,28.05
1917,1.57,0.43,2.74,1.7,4.24,3.77,4.06,2.83,2.16,1.7,0.06,0.41,25.67
1916,2.88,0.32,1.19,3.07,6.97,4.54,1.27,1.66,2.42,1.6,0.58,0.98,27.48
1915,1.37,2.01,0.93,1.87,3.98,4.91,5.92,3.49,2.57,2.59,3.62,0.46,33.72
1914,0.83,0.45,0.98,3.69,1.8,8.63,1.17,8.7,2.76,1.58,0.19,0.37,31.15
1913,0.42,0.74,1.65,1.86,2.86,2.21,7.75,1.4,4.27,2.55,0.48,0.05,26.24
1912,0.44,0.19,0.34,2.22,4.68,0.94,7.08,5.56,1.59,1.23,0.08,1.93,26.28
1911,0.71,0.89,1.25,2.55,4.1,6.93,4.62,3.65,5.83,6.42,1.25,1.95,40.15
1910,1.08,0.51,0.09,0.64,1.39,1.19,0.74,1.56,2.58,0.86,0.59,0.31,11.54
1909,1.37,2.14,0.4,2.23,3.85,2.68,5.03,2.09,2.98,2.05,2.74,2.38,29.94
1908,0.49,0.98,1.48,4.07,8.14,6.68,2.19,0.62,4.91,2.27,1.02,1.33,34.18
1907,0.93,0.76,0.56,1.37,2.01,3.64,4.2,5.58,4.26,1.26,0.76,0.58,25.91
1906,1.55,0.35,0.76,2.21,10.33,2.96,3.01,3.32,5.44,1.93,2.52,0.76,35.14
1905,0.71,0.59,0.73,0.74,4.47,7.11,3.02,4.32,6.5,2.17,3.07,0.06,33.49
1904,0.43,0.75,1.64,1.83,3.54,3.81,4.78,5.61,3.19,4.94,0.1,0.61,31.23
1903,0.22,0.5,2.05,3.02,4.4,1.02,7.29,4.61,7.77,4.36,0.31,0.64,36.19
1902,0.44,0.47,0.3,2.7,4.33,2,6.05,5.94,4.03,1.4,1.74,2.61,32.01
1901,0.31,0.26,1.84,1.58,1.57,6.25,1.64,2.65,3.8,0.94,1,0.46,22.3
1900,0.62,0.31,1.5,1.76,0.43,2.21,8.15,6.67,7.44,4.52,0.61,0.37,34.59
1899,0.77,0.87,2.4,0.57,3.36,6.03,1.54,3.16,1.31,3.17,0.38,1.37,24.93
1898,0.05,1.47,1.67,1.46,5.17,2.69,2.91,2.33,0.83,5.51,1.49,0.07,25.65
1897,1.66,1.03,3.05,1.48,1.87,9,4.27,1.94,1.64,1.67,0.7,0.13,28.44
1896,0.67,0.14,2.7,5.12,3.94,2.69,1.39,3.51,2.58,3.55,3.98,0.57,30.84
1895,0.88,0.42,0.44,1.68,2.9,3.67,4.37,1.92,4.26,0.05,0.7,0.15,21.44
1894,1.12,0.03,2.72,4.61,4.77,1.15,0.2,0.38,1.52,4.54,0.41,1.4,22.85
1893,0.87,1.58,2.09,5.21,2.5,1.83,1.66,6.3,2.86,1.67,1.15,2.41,30.13
1892,0.05,1.37,0.97,1.27,6.66,6.74,11.87,4.71,1.45,0.45,0.43,0.75,36.72
1891,1.01,1.18,0.94,1.71,1.27,3.44,2.99,3.18,1.75,1.67,0.87,3.16,23.17
1890,0.95,0.5,1.11,1.8,3.66,5.29,1.87,2.2,2.73,2.79,0.38,0.1,23.38
1889,0.55,0.31,0.99,1.14,2.86,1.61,3.08,3.56,0.51,0.06,0.97,1.32,16.96
1888,0.72,0.64,1.11,5.14,4.75,1.95,5.55,2.23,1.7,1.1,0.34,0.63,25.86
1887,1.79,0.89,0.33,3.14,1.6,2.89,3.89,3.37,4.35,1.48,0.65,1.47,25.85
1886,1.76,0.25,1.09,3.67,0.82,3.63,1.44,2.27,3.69,0.72,2.07,1.48,22.89
1885,0.3,0.22,0.55,3.19,2.12,3.73,5.86,3.69,3.52,0.93,0.6,0.64,25.35
1884,0.48,1.27,1.34,2,2.09,3.57,2.93,2.89,4.48,2.43,0.65,1.98,26.11
1883,0.64,0.44,0.06,4.92,2.12,7.04,4.33,1.22,2.23,1.1,1.01,1.59,26.7
1882,0.67,2.35,3.25,1.61,2.48,2.68,2.84,2.45,0.27,1.99,1.61,0.98,23.18
1881,4.34,2.55,1.06,0.47,4.34,2.87,2.6,4.55,9.95,4.44,1.36,0.53,39.06
1880,0.81,0.97,2.3,1.58,2.63,5.55,2.75,3.63,1.74,2.18,2.93,2.69,29.76
1879,0.11,1.12,0.97,0.45,7.18,1.76,9.32,2.78,2.26,2.56,1.41,2.47,32.39
1878,1,0.67,1.24,2.43,2.33,3.58,4.47,1.43,2.13,1.85,0.61,1.04,22.78
1877,0.55,0.01,1.57,1.92,5.43,7.13,0.52,2.83,2.56,3.62,1.24,1.42,28.8
1876,0.73,0.66,1.43,2.23,3.15,2.02,2.73,5.28,2.99,1.27,0.93,0.25,23.67
1875,1.41,1.72,2.19,2.27,3.06,4.33,0.82,8.74,2.16,1.56,0.84,1.56,30.66
1874,0.49,1.07,2.24,0.95,1.65,11.67,1.94,3.9,5.76,3.22,1.9,0.72,35.51
1873,1.31,1.54,1.34,2.44,5.63,7.74,3.83,4.61,2.57,2.57,0.79,0.38,34.75
1872,0.28,0.53,1.64,1.69,5.71,3.81,4.23,3.52,5.62,0.52,1.91,0.63,30.09
1871,1.71,0.56,2.06,4.27,2.8,4.58,1.46,4.87,2.08,1.9,1.41,1.2,28.9